,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr
10,26.31579%,0.00000%,0.00000%,22.22222%,16.12903%,8.57143%,21.42857%,13.55932%,15.10417%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,66.66667%,22.22222%,30.76923%,15.38462%,0.00000%,28.57143%,11.11111%,16.66667%,26.92308%,17.14286%,28.37838%,22.40437%
11,13.63636%,20.00000%,0.00000%,18.18182%,16.66667%,24.39024%,28.00000%,15.15152%,18.71921%,0.00000%,100.00000%,0.00000%,0.00000%,33.33333%,66.66667%,0.00000%,0.00000%,28.57143%,33.33333%,16.66667%,0.00000%,46.15385%,20.00000%,39.13043%,18.51852%,21.87500%,25.44379%
12,16.21622%,21.05263%,0.00000%,8.33333%,13.11475%,8.57143%,23.80952%,13.08411%,13.55014%,0.00000%,33.33333%,0.00000%,33.33333%,33.33333%,28.57143%,0.00000%,29.41176%,22.72727%,21.87500%,17.64706%,0.00000%,27.77778%,12.50000%,26.98413%,35.55556%,19.31034%,22.03857%
13,3.44828%,0.00000%,0.00000%,11.76471%,7.31707%,5.97015%,14.28571%,11.90476%,9.24855%,0.00000%,0.00000%,100.00000%,0.00000%,0.00000%,33.33333%,50.00000%,4.54545%,15.00000%,20.58824%,7.69231%,0.00000%,31.25000%,18.18182%,16.12903%,15.00000%,15.82278%,16.23711%
14,13.15789%,21.05263%,50.00000%,11.76471%,10.25641%,12.30769%,13.15789%,18.75000%,14.61794%,0.00000%,0.00000%,0.00000%,33.33333%,0.00000%,8.33333%,0.00000%,5.88235%,6.12245%,21.05263%,22.22222%,16.66667%,10.00000%,25.00000%,6.38298%,15.38462%,10.65089%,13.88235%
15,7.14286%,0.00000%,33.33333%,14.28571%,6.06061%,2.70270%,24.13793%,10.20408%,8.89680%,0.00000%,0.00000%,0.00000%,0.00000%,50.00000%,25.00000%,15.38462%,30.00000%,21.81818%,7.50000%,0.00000%,10.00000%,13.04348%,12.12121%,5.12821%,18.18182%,10.55901%,10.25057%
16,4.54545%,12.50000%,0.00000%,23.52941%,14.70588%,8.19672%,8.82353%,11.34021%,10.79137%,0.00000%,100.00000%,0.00000%,0.00000%,0.00000%,0.00000%,18.18182%,0.00000%,4.61538%,3.03030%,13.63636%,4.54545%,7.40741%,13.88889%,7.14286%,7.01754%,14.46541%,10.25641%
17,3.44828%,0.00000%,0.00000%,0.00000%,10.34483%,6.66667%,6.81818%,4.25532%,5.22388%,0.00000%,0.00000%,33.33333%,0.00000%,0.00000%,0.00000%,11.76471%,12.50000%,9.09091%,9.52381%,11.11111%,6.66667%,6.89655%,13.15789%,11.53846%,11.25000%,7.69231%,9.74478%
18,4.00000%,6.66667%,0.00000%,22.22222%,8.00000%,4.00000%,3.22581%,11.26761%,7.39130%,14.28571%,0.00000%,0.00000%,25.00000%,7.69231%,7.69231%,11.11111%,2.50000%,6.73077%,4.65116%,4.76190%,9.52381%,19.23077%,9.67742%,11.76471%,8.82353%,11.25000%,10.22727%
19,3.12500%,0.00000%,33.33333%,20.00000%,0.00000%,5.45455%,6.25000%,4.70588%,5.01931%,33.33333%,0.00000%,40.00000%,0.00000%,11.11111%,0.00000%,10.00000%,7.89474%,8.98876%,6.89655%,4.00000%,7.14286%,20.68966%,13.88889%,10.12658%,5.26316%,7.80142%,8.87850%
20,5.76923%,4.44444%,0.00000%,0.00000%,6.73077%,6.22407%,4.86111%,5.91260%,5.47945%,2.94118%,0.00000%,4.54545%,15.00000%,11.90476%,2.35294%,8.21918%,5.85586%,5.93870%,0.56818%,7.69231%,5.00000%,4.23729%,6.91489%,6.20155%,4.39883%,4.34227%,4.80213%
21,1.76991%,6.00000%,7.14286%,3.92157%,3.93701%,3.46535%,8.90411%,3.30579%,4.17053%,7.27273%,0.00000%,7.69231%,4.00000%,10.00000%,6.73077%,6.66667%,7.42358%,6.81818%,2.63158%,4.51128%,2.85714%,5.88235%,4.78723%,5.76369%,4.57317%,4.05759%,4.35177%
22,6.19469%,8.47458%,11.76471%,1.96078%,1.66667%,0.93458%,4.19580%,2.97297%,3.30275%,5.66038%,0.00000%,0.00000%,4.34783%,4.54545%,2.19780%,4.31034%,3.54331%,3.49206%,1.78571%,0.84034%,0.71942%,3.40909%,1.79641%,2.20994%,4.12371%,2.89655%,2.48943%
23,2.30769%,0.00000%,3.03030%,0.00000%,1.72414%,1.73913%,3.01508%,2.45536%,2.09465%,3.17460%,3.22581%,7.14286%,0.00000%,7.14286%,1.57480%,4.06504%,3.23625%,3.36788%,0.00000%,0.00000%,2.46914%,0.00000%,2.06897%,2.36486%,3.81356%,1.94489%,1.91860%
24,0.62500%,1.36986%,0.00000%,3.12500%,2.17391%,1.60643%,2.45098%,2.75424%,2.08034%,0.00000%,0.00000%,0.00000%,6.66667%,2.43902%,3.00752%,3.75940%,3.75000%,3.11284%,3.05344%,0.00000%,1.06383%,1.13636%,3.44828%,0.88106%,2.29885%,1.58103%,1.66425%
25,1.57068%,0.00000%,4.65116%,1.69492%,3.82514%,0.33003%,1.45631%,1.70358%,1.63736%,1.25000%,0.00000%,4.76190%,0.00000%,1.56250%,1.79641%,2.14286%,1.16959%,1.46727%,1.83486%,1.69492%,4.25532%,0.00000%,0.00000%,1.81818%,2.11268%,0.78947%,1.37660%
26,0.37523%,1.01523%,0.00000%,0.47619%,0.98280%,0.37221%,1.08460%,1.25885%,0.82049%,1.04712%,2.88462%,5.71429%,1.08696%,4.16667%,1.38504%,0.41152%,1.69935%,1.76946%,1.16959%,0.00000%,2.53165%,3.75000%,1.06383%,1.00671%,1.53061%,1.73745%,1.48291%
