MLB Salary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,,,,,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr
,,,,,,,,0,7,11th - 15th,  $-    ," $1,616,667 ",  $-    ,  $-    ,  $-    ," $509,804 ",  $-    ," $99,336 "," $274,528 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $163,636 ",  $-    ," $61,667 "," $46,667 ",,0,7,11th - 15th," $16,269 "," $342,105 ", $-   ," $40,230 "," $217,172 "," $141,453 "," $164,773 "," $186,441 "," $274,528 ", $-   , $-   , $-   , $-   , $-   , $-   ," $46,512 "," $24,921 "," $81,026 "," $7,883 "," $66,116 "," $11,111 "," $178,161 "," $66,667 "," $107,308 "," $86,667 "," $61,667 "," $157,407 "
,,,,,,,,0,8,16th - 20th,  $-    ," $2,283,333 ",  $-    ,  $-    ," $193,939 "," $144,444 ",  $-    ," $98,039 "," $159,596 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $466,667 ",  $-    ,  $-    ,  $-    ,  $-    ," $299,145 ",  $-    ," $113,580 ",,0,8,16th - 20th," $11,065 "," $37,209 ", $-   ," $32,624 "," $200,000 "," $133,333 "," $115,591 "," $173,111 "," $209,311 ", $-   , $-   , $-   , $-   , $-   , $-   ," $42,069 "," $19,820 "," $44,898 ", $-   ," $58,824 ", $-   ," $148,211 "," $60,185 "," $103,333 "," $71,717 "," $59,089 "," $136,894 "
,,,,,,,,0,9,End of 1st," $300,000 "," $1,960,317 ",  $-    ," $1,183,174 "," $37,037 "," $133,333 "," $1,528,571 "," $453,472 "," $507,710 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $486,111 ",  $-    ,  $-    ,  $-    ," $590,196 ",  $-    ," $211,808 "," $223,216 ",,0,9,End of 1st, $-   ," $31,073 ", $-   , $-   ," $193,939 "," $127,363 "," $88,064 "," $164,120 "," $190,325 ", $-   , $-   , $-   , $-   , $-   , $-   ," $28,616 "," $16,667 "," $25,843 ", $-   , $-   , $-   ," $69,744 "," $53,575 "," $40,323 "," $65,079 "," $56,282 "," $123,077 "
,,,,,,,,0,10,Beg of 2nd," $361,404 ",  $-    ,  $-    ," $685,185 "," $620,251 "," $143,104 "," $509,722 "," $186,441 "," $772,123 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $488,889 "," $733,333 ",  $-    ,  $-    ," $123,015 ",  $-    ,  $-    ," $173,077 "," $65,079 ",  $-    ," $110,709 ",,0,10,Beg of 2nd, $-   ," $29,240 ", $-   , $-   ," $137,173 "," $121,951 "," $76,063 "," $153,175 "," $159,596 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $13,578 "," $25,527 ", $-   , $-   , $-   ," $22,222 "," $12,903 "," $36,765 "," $44,333 "," $55,765 "," $113,580 "
,,,,,,,,0,11,End of 2nd,  $-    ,  $-    ,  $-    ,  $-    ," $365,556 "," $121,951 "," $249,778 "," $243,831 "," $209,311 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $729,167 "," $208,333 "," $407,407 ",  $-    ,  $-    ,  $-    ," $140,000 "," $198,551 ",  $-    ," $186,979 "," $177,934 ",,0,11,End of 2nd, $-   ," $27,361 ", $-   , $-   ," $70,608 "," $83,178 "," $75,000 "," $145,708 "," $148,571 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $8,562 "," $24,219 ", $-   , $-   , $-   , $-   , $-   ," $35,470 "," $40,505 "," $46,998 "," $110,709 "
,,,,,,,,0,12,3rd Round," $189,189 "," $342,105 ",  $-    ,  $-    ," $291,894 "," $11,429 "," $271,958 "," $219,315 "," $190,325 "," $677,083 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $225,490 "," $152,132 "," $153,125 ",  $-    ,  $-    ," $22,222 "," $122,396 "," $144,048 "," $86,667 "," $173,612 "," $136,894 ",,0,12,3rd Round, $-   ," $5,157 ", $-   , $-   ," $49,056 "," $57,908 "," $55,846 "," $106,689 "," $125,530 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $18,447 ", $-   , $-   , $-   , $-   , $-   ," $22,975 "," $28,775 "," $42,453 "," $81,685 "
,,,,,,,,0,13,4th Round,  $-    ,  $-    ," $2,366,667 "," $431,373 "," $31,707 "," $127,363 "," $244,444 "," $153,175 "," $148,571 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $11,765 ",  $-    ,  $-    ,  $-    ,  $-    ," $40,323 "," $140,000 "," $62,307 "," $54,921 ",,0,13,4th Round, $-   , $-   , $-   , $-   ," $37,037 "," $23,472 "," $48,256 "," $105,490 "," $115,566 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $12,681 ", $-   , $-   , $-   , $-   , $-   ," $21,268 "," $21,270 "," $42,153 "," $75,696 "
,,,,,,,,0,14,5th Round,  $-    ,  $-    ,  $-    ," $196,078 "," $275,641 "," $141,453 "," $75,000 "," $145,708 "," $125,530 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $183,333 ",  $-    ,  $-    ," $44,898 "," $91,228 "," $135,802 "," $275,309 ",  $-    ," $66,667 ",  $-    ," $106,838 "," $30,243 "," $62,458 ",,0,14,5th Round, $-   , $-   , $-   , $-   ," $31,707 "," $17,184 "," $45,202 "," $99,336 "," $102,990 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $7,255 ", $-   , $-   , $-   , $-   , $-   ," $8,845 "," $7,917 "," $38,176 "," $68,490 "
,,,,,,,,0,15,6th Round,  $-    ,  $-    ,  $-    ,  $-    ," $217,172 ",  $-    ," $289,655 "," $173,111 "," $115,566 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $333,333 ",  $-    ," $310,559 "," $109,428 "," $35,470 "," $71,717 "," $42,153 "," $68,490 ",,0,15,6th Round, $-   , $-   , $-   , $-   ," $30,303 "," $13,115 "," $44,118 "," $98,039 "," $60,039 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $6,816 ", $-   , $-   , $-   , $-   , $-   ," $5,031 ", $-   ," $32,222 "," $62,458 "
,,,,,,,,0,16,7th Round,  $-    ,  $-    ,  $-    ," $62,745 "," $270,588 "," $13,115 "," $44,118 "," $164,120 "," $102,990 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $390,909 "," $28,431 "," $81,026 ",  $-    ,  $-    ,  $-    ,  $-    ," $60,185 "," $117,190 "," $272,817 "," $42,453 "," $75,696 ",,0,16,7th Round, $-   , $-   , $-   , $-   ," $30,103 "," $11,429 "," $37,692 "," $83,879 "," $52,241 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $2,299 ", $-   ," $30,243 "," $54,921 "
,,,,,,,,0,17,8th Round," $219,048 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $164,773 ",  $-    ," $50,313 ",  $-    ,  $-    ," $1,731,616 ",  $-    ,  $-    ,  $-    ," $147,059 ",  $-    ," $101,248 ",  $-    ," $58,824 "," $488,889 "," $178,161 "," $139,591 "," $107,308 "," $7,917 "," $56,282 "," $81,685 ",,0,17,8th Round, $-   , $-   , $-   , $-   ," $24,465 "," $9,205 "," $20,936 "," $38,383 "," $51,225 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $24,221 "," $48,967 "
,,,,,,,,0,18,9th Round,  $-    ,  $-    ,  $-    ,  $-    ," $137,173 ",  $-    ," $115,591 "," $17,183 "," $35,794 ",  $-    ,  $-    ,  $-    ,  $-    ," $298,291 "," $298,077 "," $275,926 "," $16,667 "," $129,962 ",  $-    ,  $-    ,  $-    ,  $-    ," $12,903 "," $36,765 ",  $-    ," $55,765 "," $26,803 ",,0,18,9th Round, $-   , $-   , $-   , $-   ," $16,734 ", $-   ," $20,833 "," $38,090 "," $50,313 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $19,369 "," $46,667 "
,,,,,,,,0,19,10th Round," $52,083 "," $386,364 ",  $-    ,  $-    ,  $-    ,  $-    ," $20,833 "," $105,490 "," $60,039 ",  $-    ,  $-    ," $1,200,000 ",  $-    ,  $-    ,  $-    ," $366,667 "," $19,820 "," $118,182 ",  $-    ,  $-    ," $14,286 "," $298,851 "," $143,519 ",  $-    ,  $-    ," $46,998 "," $48,967 ",,0,19,10th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $27,349 "," $40,000 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $11,414 "," $38,802 "
,,,,,,,,0,20,11th - 15th Round," $58,662 "," $37,209 ",  $-    ,  $-    ," $16,734 "," $9,205 "," $88,064 "," $83,879 "," $52,241 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $65,844 ",  $-    ," $35,566 "," $25,843 ",  $-    ," $78,992 "," $88,275 ",  $-    ," $53,575 "," $2,299 "," $28,775 "," $59,089 "," $38,802 ",,0,20,11th - 15th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $21,823 "," $37,255 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $33,252 "
,,,,,,,,0,21,16th - 20th Round,  $-    ," $27,361 ",  $-    ," $32,624 "," $49,056 ",  $-    ," $45,202 "," $106,689 "," $51,225 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $42,069 ",  $-    ," $6,816 ",  $-    ," $66,116 ",  $-    ," $148,211 ",  $-    ," $21,268 "," $21,270 "," $32,222 "," $28,598 ",,0,21,16th - 20th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $19,361 "," $36,633 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $28,598 "
,,,,,,,,0,22,21st - 25th Round,  $-    ," $29,240 ",  $-    ,  $-    ," $24,465 "," $83,178 "," $48,256 "," $27,349 "," $36,633 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $28,616 "," $32,328 "," $18,447 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $40,505 "," $24,221 "," $13,665 ",,0,22,21st - 25th Round, $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $17,183 "," $35,794 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $26,803 "
